fil,namn,sida_start,skip1,skip2,sida_slut,forfattare
Karl_Joel_Appelberg,Karl Joel Appelberg,7,17,18,35,Hjalmar Tallqvist
Adolf_Ossian_Aschan,Adolf Ossian Aschan,36,51,52,63,Jonatan Reuter
Julius_Donatus_Forsman,Julius Donatus Forsman,64,69,70,74,Jonatan Reuter
Fredrik_Werner_Lindberg,Fredrik Werner Lindberg,75,87,88,115,Hjalmar Tallqvist
Gustaf_Robert_Lindberg,Gustaf Robert Lindberg,116,121,122,126,Jonatan Reuter
Karl_Hugo_Lindfors,Karl Hugo Lindfors,127,131,132,135,Lars Krogius
Klas_Mathias_Moring,Klas Mathias Moring,136,141,142,148,Jonatan Reuter
Karl_Gustaf_Nystrom,Karl Gustaf Nyström,149,151,152,155,Carolus Lindberg
Ernst_Edvard_Qvist,Ernst Edward Qvist,156,161,162,179,Klas Tallqvist
Knut_Adolf_Ludvig_Stjernvall,Knut Adolf Ludvig Stjernvall,180,187,188,193,Klas Tallqvist
Axel_Wilhelm_Wahren,Axel Wilhelm Wahren,194,197,198,237,K. E. Palmén
Evert_Albert_Vilen,Evert Albert Vilén,238,241,242,251,Jonatan Reuter
